Country Name,Country Code,Series,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,0.36,..,..,..,..,0.42,..,..,..,..,0.69,..,..,..,..,0.92,..,..,..,..,1.22,..,..,..,..,1.57,..,..,..,..,1.87,..,..,..,..,2.26,..,..,..,..,2.86,..,..,..,..,3.21,..,..,..,..,3.85,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,5.06,..,..,..,..,5.39,..,..,..,..,4.28,..,..,..,..,5.35,..,..,..,..,6.39,..,..,..,..,7.78,..,..,..,..,8.5,..,..,..,..,8.22,..,..,..,..,9.48,..,..,..,..,9.85,..,..,..,..,9.93,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,0.87,..,..,..,..,1.06,..,..,..,..,1.55,..,..,..,..,2.11,..,..,..,..,2.81,..,..,..,..,3.99,..,..,..,..,4.74,..,..,..,..,5.41,..,..,..,..,5.67,..,..,..,..,5.54,..,..,..,..,6.68,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,5.67,..,..,..,..,5.93,..,..,..,..,6.31,..,..,..,..,6.85,..,..,..,..,7.3,..,..,..,..,7.85,..,..,..,..,8.37,..,..,..,..,8.64,..,..,..,..,8.73,..,..,..,..,9.38,..,..,..,..,9.51,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,7.97,..,..,..,..,8.18,..,..,..,..,8.46,..,..,..,..,8.85,..,..,..,..,9.44,..,..,..,..,9.99,..,..,..,..,10.4,..,..,..,..,10.43,..,..,..,..,10.44,..,..,..,..,10.5,..,..,..,..,10.73,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
