Entity,Code,Year,Harmonized Test Scores
Afghanistan,AFG,2017,355
Afghanistan,AFG,2018,354.7588
Afghanistan,AFG,2020,354.7588
Albania,ALB,2010,397.22687
Albania,ALB,2017,429
Albania,ALB,2018,429.329
Albania,ALB,2020,434.1276
Algeria,DZA,2010,397.4057
Algeria,DZA,2017,374
Algeria,DZA,2018,374.08908
Algeria,DZA,2020,374.08908
Angola,AGO,2017,326
Angola,AGO,2018,325.96548
Angola,AGO,2020,325.96548
Antigua and Barbuda,ATG,2018,395.8978
Antigua and Barbuda,ATG,2020,406.99744
Argentina,ARG,2010,408.97324
Argentina,ARG,2017,424
Argentina,ARG,2018,424.0808
Argentina,ARG,2020,408.17264
Armenia,ARM,2017,443
Armenia,ARM,2018,442.96945
Armenia,ARM,2020,442.96945
Australia,AUS,2010,536.33154
Australia,AUS,2017,524
Australia,AUS,2018,524.26514
Australia,AUS,2020,515.68536
Austria,AUT,2010,503.46814
Austria,AUT,2017,525
Austria,AUT,2018,524.83264
Austria,AUT,2020,507.63937
Azerbaijan,AZE,2010,402.04822
Azerbaijan,AZE,2017,472
Azerbaijan,AZE,2018,472.2769
Azerbaijan,AZE,2020,415.9462
Bahrain,BHR,2010,436.77353
Bahrain,BHR,2017,452
Bahrain,BHR,2018,451.706
Bahrain,BHR,2020,451.706
Bangladesh,BGD,2017,368
Bangladesh,BGD,2018,368.31528
Bangladesh,BGD,2020,368.31528
Belarus,BLR,2020,488.1431
Belgium,BEL,2010,526.4219
Belgium,BEL,2017,519
Belgium,BEL,2018,519.44495
Belgium,BEL,2020,516.80786
Benin,BEN,2010,377.18536
Benin,BEN,2017,384
Benin,BEN,2018,383.92285
Benin,BEN,2020,383.92285
Bhutan,BTN,2020,386.7394
Bosnia and Herzegovina,BIH,2010,460.80423
Bosnia and Herzegovina,BIH,2017,461
Bosnia and Herzegovina,BIH,2018,460.80423
Bosnia and Herzegovina,BIH,2020,416.13406
Botswana,BWA,2010,407.9558
Botswana,BWA,2017,391
Botswana,BWA,2018,391.3183
Botswana,BWA,2020,391.3183
Brazil,BRA,2010,414.28217
Brazil,BRA,2017,408
Brazil,BRA,2018,408.0994
Brazil,BRA,2020,413.24475
Brunei,BRN,2020,437.51593
Bulgaria,BGR,2010,446.71494
Bulgaria,BGR,2017,498
